t,p_x_t,p_y_t,p_z_t,v_x_t,v_y_t,v_z_t,u_0_t,u_1_t,u_2_t,u_3_t,res_vdot_x,res_vdot_y,res_vdot_z
0.0,-1.8405167284182686,-0.37012977351982623,1.0127155917476625,0.002048568317858278,-0.001425165452894072,0.0013495647956633674,12593.277350518223,11246.276437532282,11434.35619767048,12138.014502050804,-0.039356193071310074,-0.0773998036454312,0.07564621939939033
0.009999990463256836,-1.8404665311206498,-0.370149460757855,1.0126762606241273,0.0020657504581428057,-0.0014313850025957499,0.0013325485240858084,12551.248693884969,11237.176917727853,11538.220005346466,12184.828043731995,-0.033520806697323165,-0.07124624440869456,0.11535549383141457
0.019999980926513672,-1.840553350674537,-0.3699667771952812,1.0127764300573958,0.0020504750534222874,-0.0014327535681510767,0.0013400586621878036,12609.858617675893,11283.877384610145,11527.135207677218,12302.80063008447,-0.053832178776749284,-0.09188519939870755,0.20546212234689432
0.029999971389770508,-1.8406943201855064,-0.36971340476857656,1.0130212382171602,0.001966605919745788,-0.0014243200860458798,0.0013986382333931401,12626.31045843228,11260.280731020941,11601.194563636955,12335.669405487706,-0.050959628362896706,-0.11344931405883854,0.2474402276356654
0.039999961853027344,-1.8407032105611967,-0.36970421399940967,1.0129800844776164,0.0017711151386707081,-0.0014062019465988615,0.001532246477889668,12625.745956784891,11179.90225073938,11493.829386366795,12235.973899503391,-0.06748787116207564,-0.1281979509522307,0.12928865687181298
0.04999995231628418,-1.8406561306997455,-0.36980946997878517,1.0128566736153468,0.0014570760506849726,-0.0013821467763559328,0.0017396702506135425,12599.249354273796,11240.884896856634,11426.550887159201,12111.992802953948,-0.07317049399107353,-0.1111309856543312,0.062096234931927105
0.059999942779541016,-1.8406264139237083,-0.36985702201406057,1.0127932272932039,0.0011492303193710155,-0.0013615886134045669,0.001936919772853339,12592.967762590222,11364.230820596074,11336.201418564973,12168.110957351957,-0.07192256576903802,-0.10410820474477846,0.09631291159646772
0.06999993324279785,-1.840608418898128,-0.36989096541977645,1.0127137026320585,0.0008214381666779323,-0.001340415033548685,0.002142189490265679,12544.567314081054,11193.81021466994,11520.955082788554,12167.293533130338,-0.06972293325787429,-0.09498568358574591,0.08194230053678933
0.07999992370605469,-1.8406314764300935,-0.3698214112895684,1.0126936390839445,0.0006177079584499656,-0.0013268912102294248,0.0022686171150163043,12562.106943597977,11190.267831761284,11627.028100928059,12202.50442088967,-0.07328721708305042,-0.10360534899503847,0.146090582562659
0.08999991416931152,-1.8405894670318097,-0.36977947158585817,1.01252138663492,0.0004946154764355166,-0.001317837430304181,0.0023440520277206397,12576.36200805051,11267.28646608189,11685.709405828946,12316.47050178158,-0.054022712869873125,-0.12404090503188855,0.2555502493455174
